context,count,primary_context,num,user,sum
217,1,104,1,115,1
381,2,194,2,123,2
638,3,238,3,203,3
702,4,270,4,209,4
760,5,301,5,237,5
790,6,328,6,244,6
850,7,359,7,250,7
908,8,390,8,287,8
969,9,420,9,293,9
1028,10,450,10,310,10
1086,11,480,11,315,11
1143,12,510,12,330,12
1168,13,545,13,335,13
1194,14,559,14,349,14
1218,15,573,15,354,15
1435,16,671,16,380,16
1589,17,752,17,385,17
1743,18,834,18,390,18
1899,19,931,19,395,19
2058,20,1015,20,400,20
2211,21,1098,21,405,21
2367,22,1181,22,410,22
2519,23,1264,23,415,23
2679,24,1346,24,420,24
2833,25,1427,25,424,25
2982,26,1520,26,429,26
3088,27,1602,27,434,27
3116,28,1630,28,439,28
3141,29,1645,29,444,29
3165,30,1659,30,449,30
3187,31,1673,31,454,31
3208,32,1686,32,459,32
3229,33,1700,33,465,33
3250,34,1712,34,470,34
3271,35,1724,35,475,35
3291,36,1736,36,480,36
3313,37,1748,37,483,37
3334,38,1760,38,488,38
3355,39,1772,39,493,39
3521,40,1839,40,498,40
3649,41,1905,41,502,41
3770,42,2009,42,507,42
3923,43,2092,43,511,43
4077,44,2175,44,516,44
4231,45,2257,45,521,45
4386,46,2340,46,527,46
4541,47,2421,47,532,47
4696,48,2503,48,537,48
4850,49,2586,49,542,49
5006,50,2670,50,547,50
5159,51,2751,51,551,51
5271,52,2803,52,555,52
5374,53,2847,53,560,53
5472,54,2892,54,564,54
5536,55,2948,55,568,55
5586,56,2970,56,574,56
5617,57,2994,57,579,57
5648,58,3015,58,584,58
5678,59,3038,59,590,59
5708,60,3060,60,595,60
5734,61,3073,61,601,61
5760,62,3086,62,606,62
5786,63,3099,63,611,63
5812,64,3112,64,615,64
5840,65,3125,65,620,65
5869,66,3139,66,625,66
5897,67,3152,67,630,67
5922,68,3165,68,635,68
5946,69,3179,69,640,69
5973,70,3191,70,645,70
5999,71,3205,71,650,71
6026,72,3218,72,654,72
6049,73,3230,73,659,73
6071,74,3242,74,664,74
6093,75,3254,75,669,75
6115,76,3266,76,674,76
6137,77,3278,77,679,77
6159,78,3290,78,684,78
6181,79,3302,79,688,79
6203,80,3470,80,693,80
6321,81,3526,81,698,81
6433,82,3577,82,703,82
6551,83,3629,83,707,83
6670,84,3681,84,711,84
6787,85,3743,85,716,85
6905,86,3795,86,720,86
7023,87,3863,87,724,87
7141,88,3912,88,729,88
7258,89,3962,89,734,89
7371,90,4009,90,738,90
7487,91,4058,91,743,91
7601,92,4106,92,747,92
7672,93,4143,93,752,93
7732,94,4176,94,756,94
7797,95,4213,95,761,95
7857,96,4248,96,767,96
7931,97,4302,97,772,97
7992,98,4356,98,777,98
8067,99,4388,99,781,99
8138,100,4422,100,786,100
8209,101,4456,101,791,101
8280,102,4485,102,796,102
8309,103,4498,103,800,103
8336,104,4511,104,804,104
8365,105,4523,105,809,105
8391,106,4536,106,814,106
8417,107,4549,107,818,107
8445,108,4561,108,822,108
8474,109,4574,109,826,109
8502,110,4587,110,830,110
8529,111,4602,111,834,111
8556,112,4614,112,839,112
8589,113,4627,113,843,113
8616,114,4640,114,848,114
8644,115,4653,115,853,115
8673,116,4665,116,858,116
8702,117,4678,117,862,117
8729,118,4692,118,866,118
8757,119,4704,119,871,119
8786,120,4716,120,875,120
8808,121,4728,121,880,121
8830,122,4740,122,885,122
8852,123,4752,123,890,123
8874,124,4765,124,896,124
8897,125,4776,125,901,125
8919,126,4788,126,906,126
8941,127,4800,127,910,127
9117,128,4879,128,914,128
9238,129,4982,129,918,129
9358,130,5077,130,923,130
9502,131,5161,131,928,131
9655,132,5245,132,932,132
9807,133,5329,133,936,133
9963,134,5413,134,941,134
10118,135,5494,135,947,135
10270,136,5576,136,952,136
10424,137,5659,137,956,137
10577,138,5742,138,961,138
10735,139,5835,139,967,139
10888,140,5917,140,988,140
11006,141,5969,141,992,141
11077,142,6000,142,996,142
11103,143,6016,143,1002,143
11128,144,6031,144,1007,144
11151,145,6051,145,1012,145
11174,146,6065,146,1017,146
11204,147,6079,147,1021,147
11227,148,6092,148,1026,148
11250,149,6104,149,1031,149
11271,150,6116,150,1035,150
11292,151,6128,151,1040,151
11313,152,6139,152,1046,152
11334,153,6150,153,1051,153
11355,154,6162,154,1055,154
11377,155,6173,155,1060,155
11397,156,6185,156,1065,156
11418,157,6197,157,1070,157
11440,158,6208,158,1075,158
11460,159,6220,159,1080,159
11480,160,6231,160,1085,160
11500,161,6243,161,1091,161
11521,162,6255,162,1095,162
11542,163,6267,163,1099,163
11563,164,6279,164,1103,164
11584,165,6291,165,1108,165
11605,166,6303,166,1113,166
11626,167,6315,167,1117,167
11646,168,6326,168,1122,168
11667,169,6338,169,1126,169
11688,170,6350,170,1132,170
11709,171,6362,171,1137,171
11730,172,6374,172,1141,172
11750,173,6385,173,1145,173
11772,174,6397,174,1149,174
11792,175,6409,175,1153,175
11813,176,6421,176,1158,176
11835,177,6433,177,1164,177
11856,178,6444,178,161352,178
11878,179,6457,179,161367,179
11899,180,6469,180,161379,180
11920,181,6484,181,161528,181
11943,182,6496,182,161539,182
11964,183,6508,183,161550,183
11985,184,6520,184,161584,184
12005,185,6532,185,161594,185
12026,186,6544,186,161602,186
12047,187,6555,187,161609,187
12068,188,6566,188,161617,188
12091,189,6578,189,161627,189
12289,190,6642,190,161634,190
12419,191,6778,191,161642,191
12592,192,6861,192,161652,192
12757,193,6943,193,161659,193
12891,194,7030,194,161668,194
13033,195,7113,195,161676,195
13105,196,7144,196,161711,196
13165,197,7174,197,161719,197
13222,198,7207,198,161729,198
13314,199,7254,199,161737,199
13406,200,7302,200,161747,200
13498,201,7350,201,161756,201
13587,202,7398,202,161765,202
13673,203,7433,203,161850,203
13925,204,7468,204,161859,204
14163,205,7518,205,161868,205
14304,206,7613,206,161879,206
14375,207,7644,207,161961,207
14434,208,7674,208,161969,208
14493,209,7704,209,161976,209
14551,210,7735,210,161986,210
14615,211,7766,211,162040,211
14673,212,7796,212,162050,212
14732,213,7826,213,162060,213
14792,214,7856,214,162067,214
14840,215,7876,215,162076,215
14865,216,7890,216,162105,216
14889,217,7904,217,162114,217
14912,218,7916,218,162123,218
14933,219,7929,219,162149,219
14955,220,7941,220,162158,220
14976,221,7953,221,162167,221
14997,222,7965,222,162191,222
15018,223,7977,223,162207,223
15040,224,7988,224,162217,224
15061,225,8000,225,162239,225
15082,226,8012,226,162248,226
15103,227,8024,227,162258,227
15124,228,8037,228,162281,228
15146,229,8048,229,162289,229
15168,230,8060,230,162295,230
15190,231,8073,231,162318,231
15211,232,8085,232,162326,232
15231,233,8097,233,162333,233
15252,234,8109,234,162356,234
15273,235,8121,235,162364,235
15294,236,8133,236,162374,236
15315,237,8146,237,162397,237
15335,238,8158,238,162405,238
15355,239,8170,239,162412,239
15376,240,8182,240,162435,240
15396,241,8194,241,162444,241
15417,242,8206,242,162452,242
15438,243,8218,243,162474,243
15458,244,8230,244,162483,244
15478,245,8241,245,162492,245
15501,246,8254,246,162515,246
