type,level,size,num_sharing,context.date,context.host_name,context.executable,context.num_cpus,context.mhz_per_cpu,context.cpu_scaling_enabled,context.library_build_type
Data,1,32768,1,2023-06-05T10:52:44+08:00,azurezhfpga2,./perf/common_perf/benchmark_test,6,3600,True,debug
Instruction,1,32768,1,2023-06-05T10:52:44+08:00,azurezhfpga2,./perf/common_perf/benchmark_test,6,3600,True,debug
Unified,2,524288,1,2023-06-05T10:52:44+08:00,azurezhfpga2,./perf/common_perf/benchmark_test,6,3600,True,debug
Unified,3,16777216,3,2023-06-05T10:52:44+08:00,azurezhfpga2,./perf/common_perf/benchmark_test,6,3600,True,debug
0
0.1
0.14
0.05
name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,aggregate_name,aggregate_unit
Factorial_Fixture/factorial_pref_64,0,0,Factorial_Fixture/factorial_pref_64,iteration,1,0.0,1,6497413,107.73529787748727,107.71763777368008,ns,,
Factorial_Fixture/factorial_pref_65/1/20,1,0,Factorial_Fixture/factorial_pref_65/1/20,iteration,1,0.0,1,6422228,109.03430088516915,109.01574936299363,ns,,
Factorial_Fixture/factorial_pref_65/3/20,1,1,Factorial_Fixture/factorial_pref_65/3/20,iteration,1,0.0,1,6421568,108.93784088267657,108.92088972662133,ns,,
Factorial_Fixture/factorial_pref_65/8/20,1,2,Factorial_Fixture/factorial_pref_65/8/20,iteration,1,0.0,1,6422219,109.00971001807287,108.99339075792962,ns,,
Factorial_Fixture/factorial_pref_65/1/40,1,3,Factorial_Fixture/factorial_pref_65/1/40,iteration,1,0.0,1,6424376,109.00803142326154,108.99110948674235,ns,,
Factorial_Fixture/factorial_pref_65/3/40,1,4,Factorial_Fixture/factorial_pref_65/3/40,iteration,1,0.0,1,6422063,109.03767121506733,109.02002627504596,ns,,
Factorial_Fixture/factorial_pref_65/8/40,1,5,Factorial_Fixture/factorial_pref_65/8/40,iteration,1,0.0,1,6421425,108.98067607488935,108.96483677688371,ns,,
Factorial_Fixture/factorial_pref_65/1/60,1,6,Factorial_Fixture/factorial_pref_65/1/60,iteration,1,0.0,1,6421084,109.03181798705909,109.01607501163359,ns,,
Factorial_Fixture/factorial_pref_65/3/60,1,7,Factorial_Fixture/factorial_pref_65/3/60,iteration,1,0.0,1,6420172,109.0280120239141,109.00656555618757,ns,,
Factorial_Fixture/factorial_pref_65/8/60,1,8,Factorial_Fixture/factorial_pref_65/8/60,iteration,1,0.0,1,6423182,109.0084710449528,108.98942673584531,ns,,
